departamento,archivo_jpg
Guatemala (General),00_Guatemala_General_3D.jpg
Alta Verapaz,01_Alta_Verapaz_3D.jpg
Baja Verapaz,02_Baja_Verapaz_3D.jpg
Chimaltenango,03_Chimaltenango_3D.jpg
Chiquimula,04_Chiquimula_3D.jpg
El Progreso,05_El_Progreso_3D.jpg
Escuintla,06_Escuintla_3D.jpg
Guatemala,07_Guatemala_3D.jpg
Huehuetenango,08_Huehuetenango_3D.jpg
Izabal,09_Izabal_3D.jpg
Jalapa,10_Jalapa_3D.jpg
Jutiapa,11_Jutiapa_3D.jpg
Petén,12_Peten_3D.jpg
Quetzaltenango,13_Quetzaltenango_3D.jpg
Quiché,14_Quiche_3D.jpg
Retalhuleu,15_Retalhuleu_3D.jpg
Sacatepéquez,16_Sacatepequez_3D.jpg
San Marcos,17_San_Marcos_3D.jpg
Santa Rosa,18_Santa_Rosa_3D.jpg
Sololá,19_Solola_3D.jpg
Suchitepéquez,20_Suchitepequez_3D.jpg
Totonicapán,21_Totonicapan_3D.jpg
Zacapa,22_Zacapa_3D.jpg
